"","Week","Colony","Treatment","Date","Age","IB_taken.a","Leaves_taken.a","IB_taken","Leaves_taken","Prop.dec","ColonySize","Prop.new","IB_prop.a","PT_prop.a","Treatment_b"
"1",1,"Amy","CHX IB",20180311,"old",0,13,0,13,0,482,0,0,0,"CHX"
"2",1,"Andrew","Sham IB",20180325,"old",28,30,28,30,0,138,0,0.933333333333333,0.933333333333333,"Control"
"3",1,"Angel","CHX LS",20180107,"old",27,27,27,27,0,566,0,1,0,"CHX"
"4",1,"Anya","CHX IB",20180107,"old",9,72,9,72,0,401,0,0.125,0.125,"CHX"
"5",1,"Bunny","Sham LS",20180206,"old",44,72,44,72,0,577,0,0.611111111111111,0.388888888888889,"Control"
"6",1,"Clem","CHX IB",20180311,"old",0,8,0,8,0,373,0,0,0,"CHX"
"7",1,"Cordelia","Sham LS",20180107,"old",44,90,44,90,0,468,0,0.488888888888889,0.511111111111111,"Control"
"8",1,"Dawn","Sham IB",20180219,"old",2,2,2,2,0,109,0,1,1,"Control"
"9",1,"Dawn","Sham IB",20180219,"new",0,0,2,2,0,109,0,NA,NA,"Control"
"10",1,"Druscilla","CHX LS",20180206,"old",3,3,3,3,0,506,0,1,0,"CHX"
"11",1,"Hapshetsut","Sham LS",20180311,"old",7,18,7,18,0,168,0,0.388888888888889,0.611111111111111,"Control"
"12",1,"Harmony","CHX IB",20180219,"old",0,45,0,45,0,196,0,0,0,"CHX"
"13",1,"Harmony","CHX IB",20180219,"new",0,0,0,45,0,196,0,NA,NA,"CHX"
"14",1,"Joan","CHX LS",20180311,"old",19,19,19,19,0,362,0,1,0,"CHX"
"15",1,"Kendra","Sham IB",20180311,"old",5,32,5,32,0,415,0,0.15625,0.15625,"Control"
"16",1,"Ms. Calendar","Sham IB",20180107,"old",59,122,59,122,0,310,0,0.483606557377049,0.483606557377049,"Control"
"17",1,"Spike","CHX LS",20180107,"old",74,77,74,77,0,485,0,0.961038961038961,0.038961038961039,"CHX"
"18",1,"Tara","CHX IB",20180107,"old",0,35,0,35,0,536,0,0,0,"CHX"
"19",1,"The Anointed","Sham LS",20180311,"old",5,14,5,14,0,126,0,0.357142857142857,0.642857142857143,"Control"
"20",1,"The Brain","CHX LS",20180325,"old",78,79,78,79,0,519,0,0.987341772151899,0.0126582278481012,"CHX"
"21",1,"The Mayor","CHX LS",20180311,"old",6,6,6,6,0,68,0,1,0,"CHX"
"22",11,"Amy","CHX IB",20180520,"new",0,6,1,34,0.176470588235294,209,0.497607655502392,0,0,"CHX"
"23",11,"Amy","CHX IB",20180520,"old",1,28,1,34,0.176470588235294,209,0.497607655502392,0.0357142857142857,0.0357142857142857,"CHX"
"24",11,"Angel","CHX LS",20180318,"old",60,60,70,70,0.142857142857143,727,0.46767537826685,1,0,"CHX"
"25",11,"Angel","CHX LS",20180318,"new",10,10,70,70,0.142857142857143,727,0.46767537826685,1,0,"CHX"
"26",11,"Anya","CHX IB",20180318,"old",1,50,1,55,0.0909090909090909,304,0.588815789473684,0.02,0.02,"CHX"
"27",11,"Anya","CHX IB",20180318,"new",0,5,1,55,0.0909090909090909,304,0.588815789473684,0,0,"CHX"
"28",11,"Bunny","Sham LS",20180415,"new",1,1,11,16,0.0625,566,0.756183745583039,1,0,"Control"
"29",11,"Bunny","Sham LS",20180415,"old",10,15,11,16,0.0625,566,0.756183745583039,0.666666666666667,0.333333333333333,"Control"
"30",11,"Clem","CHX IB",20180520,"old",7,13,11,17,0.235294117647059,125,0.824,0.538461538461538,0.538461538461538,"CHX"
"31",11,"Clem","CHX IB",20180520,"new",4,4,11,17,0.235294117647059,125,0.824,1,1,"CHX"
"32",11,"Cordelia","Sham LS",20180318,"new",65,112,65,112,1,905,0.859668508287293,0.580357142857143,0.419642857142857,"Control"
"33",11,"Dawn","Sham IB",20180429,"new",18,30,18,30,1,128,0.9375,0.6,0.6,"Control"
"34",11,"Hapshetsut","Sham LS",20180520,"new",38,74,38,74,1,338,0.988165680473373,0.513513513513513,0.486486486486487,"Control"
"35",11,"Harmony","CHX IB",20180429,"old",29,82,39,102,0.196078431372549,343,0.690962099125364,0.353658536585366,0.353658536585366,"CHX"
"36",11,"Harmony","CHX IB",20180429,"new",10,20,39,102,0.196078431372549,343,0.690962099125364,0.5,0.5,"CHX"
"37",11,"Joan","CHX LS",20180520,"new",3,3,18,25,0.12,112,0.678571428571429,1,0,"CHX"
"38",11,"Joan","CHX LS",20180520,"old",15,22,18,25,0.12,112,0.678571428571429,0.681818181818182,0.318181818181818,"CHX"
"39",11,"Kendra","Sham IB",20180520,"new",6,29,6,30,0.966666666666667,235,0.94468085106383,0.206896551724138,0.206896551724138,"Control"
"40",11,"Kendra","Sham IB",20180520,"old",0,1,6,30,0.966666666666667,235,0.94468085106383,0,0,"Control"
"41",11,"Ms. Calendar","Sham IB",20180318,"old",8,12,43,71,0.830985915492958,420,0.938095238095238,0.666666666666667,0.666666666666667,"Control"
"42",11,"Ms. Calendar","Sham IB",20180318,"new",35,59,43,71,0.830985915492958,420,0.938095238095238,0.593220338983051,0.593220338983051,"Control"
"43",11,"Spike","CHX LS",20180318,"old",7,7,29,29,0.758620689655172,96,0.9375,1,0,"CHX"
"44",11,"Spike","CHX LS",20180318,"new",22,22,29,29,0.758620689655172,96,0.9375,1,0,"CHX"
"45",11,"Tara","CHX IB",20180318,"old",15,33,18,43,0.232558139534884,347,0.680115273775216,0.454545454545455,0.454545454545455,"CHX"
"46",11,"Tara","CHX IB",20180318,"new",3,10,18,43,0.232558139534884,347,0.680115273775216,0.3,0.3,"CHX"
"47",11,"The Anointed","Sham LS",20180520,"new",23,37,25,41,0.902439024390244,182,0.846153846153846,0.621621621621622,0.378378378378378,"Control"
"48",11,"The Anointed","Sham LS",20180520,"old",2,4,25,41,0.902439024390244,182,0.846153846153846,0.5,0.5,"Control"
