"","Colony","Week","Treatment","Agegroup_focal","Choice","EorN_focal","Forager_ID","Date.x","Decision_time","TouchIBtiny","TouchLStiny","Prop_exp","Num_tinies","X.x","Num_outbound_IB","Num_outbound_LS","Outbound_propIB","X.y","AgeGroup","timepoint","Date.y","Day","IB_taken","Total_Leaves","Source.x","Source.y","prev_IB_attempts","Prop_IB","TinyBinary","Choice_bin"
"1","21801",7,"CHX",1,"IB","Experienced","IB1",20170707,156.994,0,0,0.666666666666667,0,1,0,0,NA,9,1,10,20170707,49,3,15,"Boris.og","Boris.og",36,0.2,"Absent",1
"2","21801",7,"CHX",1,"IB","Experienced","IB2",20170707,398.03,0,0,0.714285714285714,0,2,0,0,NA,9,1,10,20170707,49,3,15,"Boris.og","Boris.og",36,0.2,"Absent",1
"3","21801",7,"CHX",1,"IB","Experienced","IB3",20170707,923.205,0,0,1,0,3,0,0,NA,9,1,10,20170707,49,3,15,"Boris.og","Boris.og",36,0.2,"Absent",1
"4","21801",7,"CHX",2,"LS","Naive","LS1",20170707,259.539,0,0,0.857142857142857,0,4,0,1,0,12,2,10,20170707,49,0,22,"Boris.og","Boris.og",1,0,"Absent",0
"5","21801",7,"CHX",2,"LS","Naive","LS6",20170707,1080.43,0,0,0.5,0,6,0,1,0,12,2,10,20170707,49,0,22,"Boris.og","Boris.og",1,0,"Absent",0
"6","21801",7,"CHX",3,"LS","Naive","LS10",20170707,1636.098,0,0,0.75,0,5,0,1,0,19,3,10,20170707,49,0,6,"Boris.og","Boris.og",0,0,"Absent",0
"7","21801",11,"CHX",2,"IB","Naive","IB3",20170804,892.368,0,0,0,0,8,1,2,0.333333333333333,17,2,15,20170804,77,2,8,"Boris.og","Boris.og",2,0.25,"Absent",1
"8","21801",11,"CHX",2,"IB","Naive","IB2",20170804,830.507,0,0,0,0,7,1,1,0.5,17,2,15,20170804,77,2,8,"Boris.og","Boris.og",2,0.25,"Absent",1
"9","21801",11,"CHX",3,"LS","Naive","LS2",20170804,894.992,0,0,0,0,11,0,1,0,24,3,15,20170804,77,2,38,"Boris.og","Boris.og",0,0.0526315789473684,"Absent",0
"10","21801",11,"CHX",3,"IB","Naive","IB4",20170804,1204.352,0,0,0,0,9,1,1,0.5,24,3,15,20170804,77,2,38,"Boris.og","Boris.og",0,0.0526315789473684,"Absent",1
"11","21801",11,"CHX",3,"LS","Naive","LS4",20170804,1731.529,0,0,0,0,12,0,1,0,24,3,15,20170804,77,2,38,"Boris.og","Boris.og",0,0.0526315789473684,"Absent",0
"12","21801",11,"CHX",4,"LS","Naive","LS1",20170804,355.902,0,0,0,0,10,0,2,0,31,4,15,20170804,77,0,2,"Boris.og","Boris.og",0,0,"Absent",0
"13","21801",15,"CHX",3,"LS","Naive","LS10",20170901,1786.721,0,0,0,0,16,0,0,NA,29,3,20,20170901,105,0,23,"Boris.og","",9,0,"Absent",0
"14","21801",15,"CHX",3,"LS","Naive","LS10",20170901,1786.721,0,0,0,0,16,0,0,NA,28,3,19,20170901,105,0,23,"Boris.og","Boris.og",9,0,"Absent",0
"15","21801",15,"CHX",6,"IB","Naive","IB7",20170901,1297.75,0,0,0,0,14,0,2,0,43,6,20,20170901,105,17,44,"Boris.og","",1,0.386363636363636,"Absent",1
"16","21801",15,"CHX",6,"IB","Naive","IB8",20170901,1342.145,0,0,0,0,15,0,2,0,43,6,20,20170901,105,17,44,"Boris.og","",1,0.386363636363636,"Absent",1
"17","21801",15,"CHX",6,"IB","Naive","IB4",20170901,859.822,0,0,0,0,13,0,0,NA,43,6,20,20170901,105,17,44,"Boris.og","",1,0.386363636363636,"Absent",1
"18","21801",15,"CHX",6,"LS","Naive","LS9",20170901,1761.965,0,0,0,0,18,0,1,0,43,6,20,20170901,105,17,44,"Boris.og","",1,0.386363636363636,"Absent",0
"19","21801",15,"CHX",6,"LS","Naive","LS5",20170901,953.657,0,0,0,0,17,0,0,NA,43,6,20,20170901,105,17,44,"Boris.og","",1,0.386363636363636,"Absent",0
"20","31501",3,"CHX",1,"IB","Experienced","IB1",20170510,645.153,3,2,1,5,19,0,1,0,52,1,5,20170510,21,3,55,"Boris.og","Boris.og",10,0.0545454545454545,"Preset",1
"21","31501",3,"CHX",1,"IB","Experienced","IB2",20170510,418.417,1,0,1,1,20,0,0,NA,52,1,5,20170510,21,3,55,"Boris.og","Boris.og",10,0.0545454545454545,"Preset",1
"22","31501",3,"CHX",1,"IB","Experienced","IB3",20170510,1636.321,9,0,0.833333333333333,9,21,0,0,NA,52,1,5,20170510,21,3,55,"Boris.og","Boris.og",10,0.0545454545454545,"Preset",1
"23","31501",3,"CHX",1,"LS","Experienced","LS1",20170510,725.72,5,0,1,5,22,0,0,NA,52,1,5,20170510,21,3,55,"Boris.og","Boris.og",10,0.0545454545454545,"Preset",0
"24","31501",3,"CHX",1,"LS","Experienced","LS2",20170510,1462.494,6,0,0.625,6,23,0,0,NA,52,1,5,20170510,21,3,55,"Boris.og","Boris.og",10,0.0545454545454545,"Preset",0
"25","31501",3,"CHX",1,"LS","Experienced","LS3",20170510,1686.108,9,1,0.888888888888889,10,24,0,1,0,52,1,5,20170510,21,3,55,"Boris.og","Boris.og",10,0.0545454545454545,"Preset",0
"26","31501",7,"CHX",1,"LS","Experienced","LS4",20170607,339.264,0,0,1,0,25,0,4,0,56,1,9,20170607,49,2,58,"Boris.og","Boris.og",24,0.0344827586206897,"Absent",0
"27","31501",7,"CHX",1,"LS","Experienced","LS5",20170607,533.358,0,0,1,0,26,0,1,0,56,1,9,20170607,49,2,58,"Boris.og","Boris.og",24,0.0344827586206897,"Absent",0
"28","31501",7,"CHX",1,"LS","Experienced","LS9",20170607,1673.377,0,0,1,0,27,0,0,NA,56,1,9,20170607,49,2,58,"Boris.og","Boris.og",24,0.0344827586206897,"Absent",0
"29","31501",11,"CHX",1,"IB","Experienced","IB1",20170705,611.911,0,0,0.625,0,28,0,1,0,60,1,13,20170705,77,1,45,"Boris.og","Boris.og",45,0.0222222222222222,"Absent",1
"30","31501",11,"CHX",1,"LS","Experienced","LS1",20170705,549.377,0,0,0.727272727272727,0,31,0,0,NA,60,1,13,20170705,77,1,45,"Boris.og","Boris.og",45,0.0222222222222222,"Absent",0
"31","31501",11,"CHX",1,"LS","Experienced","LS2",20170705,563.595,0,0,0.636363636363636,0,32,0,0,NA,60,1,13,20170705,77,1,45,"Boris.og","Boris.og",45,0.0222222222222222,"Absent",0
"32","31501",11,"CHX",1,"LS","Experienced","LS3",20170705,1275.966,1,0,0.7,1,33,0,1,0,60,1,13,20170705,77,1,45,"Boris.og","Boris.og",45,0.0222222222222222,"Preset",0
"33","31501",11,"CHX",2,"IB","Naive","IB3",20170705,1066.732,0,1,0.714285714285714,1,30,0,0,NA,67,2,13,20170705,77,2,3,"Boris.og","Boris.og",3,0.666666666666667,"Preset",1
"34","31501",11,"CHX",2,"IB","Naive","IB2",20170705,1007.524,0,0,0.666666666666667,0,29,0,7,0,67,2,13,20170705,77,2,3,"Boris.og","Boris.og",3,0.666666666666667,"Absent",1
"35","31501",15,"CHX",6,"IB","Naive","IB1",20170802,137.918,0,0,0,0,34,0,0,NA,74,6,17,20170802,105,3,52,"Boris.og","Boris.og",0,0.0576923076923077,"Absent",1
"36","31501",15,"CHX",6,"LS","Naive","LS5",20170802,321.09,0,0,0.166666666666667,0,37,1,2,0.333333333333333,74,6,17,20170802,105,3,52,"Boris.og","Boris.og",0,0.0576923076923077,"Absent",0
"37","31501",15,"CHX",6,"LS","Naive","LS6",20170802,420.144,0,0,0.125,0,38,0,3,0,74,6,17,20170802,105,3,52,"Boris.og","Boris.og",0,0.0576923076923077,"Absent",0
"38","31501",15,"CHX",6,"IB","Naive","IB2",20170802,267.297,0,0,0,0,35,0,3,0,74,6,17,20170802,105,3,52,"Boris.og","Boris.og",0,0.0576923076923077,"Absent",1
"39","31501",15,"CHX",6,"LS","Naive","LS8",20170802,1152.679,1,0,0,1,39,0,2,0,74,6,17,20170802,105,3,52,"Boris.og","Boris.og",0,0.0576923076923077,"Preset",0
"40","31501",15,"CHX",6,"IB","Naive","IB3",20170802,331.441,0,0,0.142857142857143,0,36,0,3,0,74,6,17,20170802,105,3,52,"Boris.og","Boris.og",0,0.0576923076923077,"Absent",1
"41","31501",19,"CHX",7,"IB","Naive","IB5",20170830,435.749,1,0,0,1,41,1,2,0.333333333333333,81,7,21,20170830,133,3,7,"Boris.og","Boris.og",10,0.428571428571429,"Preset",1
